1,371,318,0,0
2,380,328,0,0
3,389,338,0,0
4,398,348,0,0
5,408,357,0,0
6,416,366,0,0
7,427,377,0,0
8,437,387,0,0
9,447,398,0,0
10,457,408,0,0
11,468,418,0,0
12,478,426,0,0
13,489,435,0,0
14,499,442,0,0
15,510,449,0,0
16,522,455,0,0
17,532,460,0,0
18,542,463,0,0
19,552,467,0,0
20,562,470,0,0
21,572,472,0,0
22,582,473,0,0
23,592,473,0,0
24,603,473,0,0
25,613,472,0,0
26,623,471,0,0
27,632,469,0,0
28,641,467,0,0
29,651,464,0,0
30,660,461,0,0
31,670,456,0,0
32,679,450,0,0
33,689,445,1,126
34,699,438,1,127
35,707,430,1,128
36,716,422,1,129
37,723,413,1,130
38,730,404,1,131
39,736,394,0,0
40,741,384,0,0
41,745,374,0,0
42,749,364,0,0
43,752,354,0,0
44,754,343,0,0
45,756,333,0,0
46,756,323,0,0
47,756,313,0,0
48,756,303,0,0
49,755,294,0,0
50,754,285,0,0
51,752,276,0,0
52,750,267,0,0
53,747,258,0,0
54,744,249,0,0
55,740,240,0,0
56,735,231,0,0
57,730,222,0,0
58,723,213,0,0
59,716,204,0,0
60,708,197,0,0
61,700,190,0,0
62,691,183,0,0
63,682,178,0,0
64,673,173,0,0
65,664,169,0,0
66,654,166,0,0
67,644,163,0,0
68,634,161,0,0
69,624,160,0,0
70,614,159,0,0
71,604,159,0,0
72,594,159,0,0
73,584,160,0,0
74,574,161,0,0
75,564,163,0,0
76,554,165,0,0
77,545,168,0,0
78,535,172,0,0
79,525,176,0,0
80,516,181,0,0
81,507,187,0,0
82,498,192,0,0
83,490,198,0,0
84,482,203,0,0
85,474,210,0,0
86,466,216,0,0
87,458,223,0,0
88,450,230,0,0
89,443,237,0,0
90,436,244,0,0
91,429,251,1,2
92,422,258,1,3
93,415,265,1,4
94,408,273,1,5
95,400,281,0,0
96,392,288,0,0
97,384,296,0,0
98,376,304,0,0
99,368,313,0,0
100,360,321,0,0
101,352,328,0,0
102,345,336,0,0
103,338,343,0,0
104,331,350,0,0
105,324,357,0,0
106,316,363,0,0
107,308,370,0,0
108,300,376,0,0
109,292,382,0,0
110,284,387,0,0
111,276,391,0,0
112,268,395,0,0
113,260,399,0,0
114,251,402,0,0
115,243,404,0,0
116,235,406,0,0
117,226,406,0,0
118,217,406,0,0
119,208,405,0,0
120,199,403,0,0
121,190,400,0,0
122,181,396,0,0
123,172,391,0,0
124,164,385,0,0
125,156,378,0,0
126,150,370,0,0
127,146,362,0,0
128,142,354,0,0
129,139,346,0,0
130,137,337,0,0
131,135,329,0,0
132,134,320,0,0
133,134,311,0,0
134,136,302,0,0
135,137,294,0,0
136,140,285,0,0
137,144,276,0,0
138,149,267,1,61
139,155,259,1,62
140,162,252,1,63
141,170,245,1,64
142,178,239,1,65
143,186,234,1,66
144,194,231,0,0
145,203,229,0,0
146,211,227,0,0
147,220,226,0,0
148,229,226,0,0
149,238,227,0,0
150,247,229,0,0
151,256,231,0,0
152,265,234,0,0
153,274,238,0,0
154,283,243,0,0
155,291,248,0,0
156,299,254,0,0
157,307,261,0,0
158,315,267,0,0
159,323,274,0,0
160,331,282,0,0
161,339,289,0,0
162,346,297,0,0
163,354,304,0,0
164,362,311,0,0
